title,link,source,ai_summary,time
'He's rapid and we haven't had too many quicker than him at Cullentra over the years - it'll take a fair horse to beat him',https://www.racingpost.com/news/features/stable-tours/hes-rapid-and-we-havent-had-too-many-quicker-than-him-at-cullentra-over-the-years-itll-take-a-fair-horse-to-beat-him-aKVZf6y253zp/,racing_post,AI 模型未就緒,
'He's running over the trip I think he'll love' - Nicky Henderson bullish about Jonbon's bid for 12th Grade 1 in Ascot Chase,https://www.racingpost.com/news/britain/hes-running-over-the-trip-i-think-hell-love-nicky-henderson-bullish-about-jonbons-bid-for-12th-grade-1-in-ascot-chase-aRYMB7H52uRg/,racing_post,AI 模型未就緒,
Ten Up Novice Chase: Oscars Brother ignites Cheltenham and Aintree dream for two-horse trainer on first start for JP McManus,https://www.racingpost.com/news/reports/oscars-brother-ignites-cheltenham-and-aintree-dream-for-two-horse-trainer-on-first-start-for-jp-mcmanus-a5Q9q3s7O9pa/,racing_post,AI 模型未就緒,
Cost of British racing's troubled digital project more than double previously reported - and spending could hit almost £20 million,https://www.racingpost.com/news/britain/cost-of-british-racings-troubled-digital-project-more-than-double-previously-reported-and-spending-could-hit-almost-20-million-a3gpo3I6coCV/,racing_post,AI 模型未就緒,
Super Bowl 60: Seahawks set to swoop to victory in California,https://www.racingpost.com/sport/nfl-tips/super-bowl-60-predictions-betting-odds-and-tips-seattle-seahawks-new-england-patriots-aq3rV7r0ahop/,racing_post,AI 模型未就緒,
Nicky Henderson faces the biggest decision of his career about Constitution Hill - and the stakes could not be higher,https://www.racingpost.com/news/opinion/comment/nicky-henderson-faces-the-biggest-decision-of-his-career-about-constitution-hill-and-the-stakes-could-not-be-higher-ahZbh6v6I1oI/,racing_post,AI 模型未就緒,
'I've thought he's a Supreme horse all season' - Harry Derham sticking to Cheltenham Festival plan despite 1-3 defeat for novice,https://www.racingpost.com/news/festivals/cheltenham-festival/ive-thought-hes-a-supreme-horse-all-season-harry-derham-sticking-to-cheltenham-festival-plan-despite-1-3-defeat-for-novice-aiGHU7Z08X6e/,racing_post,AI 模型未就緒,
Cheltenham Festival-winning jockey-turned-trainer likely to resist Champion Bumper bid with 'pretty special' Newbury winner,https://www.racingpost.com/news/britain/cheltenham-festival-winning-jockey-turned-trainer-likely-to-resist-champion-bumper-bid-with-pretty-special-newbury-winner-atb7b8x8SACG/,racing_post,AI 模型未就緒,
Cheltenham Stable Tours return - and now is the perfect time to join Racing Post+ with 35% off for A WHOLE YEAR,https://www.racingpost.com/news/cheltenham-stable-tours-return-and-now-is-the-perfect-time-to-join-racing-post-with-35-off-for-a-whole-year-a1tp92H7rjPM/,racing_post,AI 模型未就緒,
'My kids have begged me to go back' - ex-jockey returns after six-year gap following chance meeting with old boss,https://www.racingpost.com/news/features/regulars/my-kids-have-begged-me-to-go-back-ex-jockey-returns-after-six-year-gap-following-chance-meeting-with-old-boss-anrjO0d4mfUi/,racing_post,AI 模型未就緒,
